Name,Year,Oscars_ID,Won
Around the World in 80 Days,1956,29,Yes
Friendly Persuasion,1956,29,No
Giant,1956,29,No
The King and I,1956,29,No
The Ten Commandments,1956,29,No
The Bridge on the River Kwai,1957,30,Yes
12 Angry Men,1957,30,No
Peyton Place,1957,30,No
Sayonara,1957,30,No
Witness for the Prosecution,1957,30,No
Gigi,1958,31,Yes
Auntie Mame,1958,31,No
Cat on a Hot Tin Roof,1958,31,No
The Defiant Ones,1958,31,No
Separate Tables,1958,31,No
Ben-Hur,1959,32,Yes
Anatomy of a Murder,1959,32,No
The Diary of Anne Frank,1959,32,No
The Nun's Story,1959,32,No
Room at the Top,1958,32,No
The Apartment,1960,33,Yes
The Alamo,1960,33,No
Elmer Gantry,1960,33,No
Sons and Lovers,1960,33,No
The Sundowners,1960,33,No
West Side Story,1961,34,Yes
Fanny,1961,34,No
The Guns of Navarone,1961,34,No
The Hustler,1961,34,No
Judgment at Nuremberg,1961,34,No
Lawrence of Arabia,1962,35,Yes
The Longest Day,1962,35,No
The Music Man,1962,35,No
Mutiny on the Bounty,1962,35,No
To Kill a Mockingbird,1962,35,No
Tom Jones,1963,36,Yes
America America,1963,36,No
Cleopatra,1963,36,No
How the West Was Won,1962,36,No
Lilies of the Field,1963,36,No
My Fair Lady,1964,37,Yes
Becket,1964,37,No
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,37,No
Mary Poppins,1964,37,No
Zorba the Greek,1964,37,No
The Sound of Music,1965,38,Yes
Darling,1965,38,No
Doctor Zhivago,1965,38,No
Ship of Fools,1965,38,No
A Thousand Clowns,1965,38,No
A Man for All Seasons,1966,39,Yes
Alfie,1966,39,No
"The Russians Are Coming, the Russians Are Coming",1966,39,No
The Sand Pebbles,1966,39,No
Who's Afraid of Virginia Woolf?,1966,39,No
In the Heat of the Night,1967,40,Yes
Bonnie and Clyde,1967,40,No
Doctor Dolittle,1967,40,No
The Graduate,1967,40,No
Guess Who's Coming to Dinner,1967,40,No
Oliver!,1968,41,Yes
Funny Girl,1968,41,No
The Lion in Winter,1968,41,No
"Rachel, Rachel",1968,41,No
Romeo and Juliet,1968,41,No
Midnight Cowboy,1969,42,Yes
Anne of the Thousand Days,1969,42,No
Butch Cassidy and the Sundance Kid,1969,42,No
"Hello, Dolly!",1969,42,No
Z,1969,42,No
Patton,1970,43,Yes
Airport,1970,43,No
Five Easy Pieces,1970,43,No
Love Story,1970,43,No
M*A*S*H,1970,43,No
The French Connection,1971,44,Yes
A Clockwork Orange,1971,44,No
Fiddler on the Roof,1971,44,No
The Last Picture Show,1971,44,No
Nicholas and Alexandra,1971,44,No
The Godfather,1972,45,Yes
Cabaret,1972,45,No
Deliverance,1972,45,No
The Emigrants,1971,45,No
Sounder,1972,45,No
The Sting,1973,46,Yes
American Graffiti,1973,46,No
Cries & Whispers,1972,46,No
The Exorcist,1973,46,No
A Touch of Class,1973,46,No
The Godfather Part II,1974,47,Yes
Chinatown,1974,47,No
The Conversation,1974,47,No
Lenny,1974,47,No
The Towering Inferno,1974,47,No
One Flew Over the Cuckoo's Nest,1975,48,Yes
Barry Lyndon,1975,48,No
Dog Day Afternoon,1975,48,No
Jaws,1975,48,No
Nashville,1975,48,No
Rocky,1976,49,Yes
All the President's Men,1976,49,No
Bound for Glory,1976,49,No
Network,1976,49,No
Taxi Driver,1976,49,No
Annie Hall,1977,50,Yes
The Goodbye Girl,1977,50,No
Julia,1977,50,No
Star Wars,1977,50,No
The Turning Point,1977,50,No
The Deer Hunter,1978,51,Yes
Coming Home,1978,51,No
Heaven Can Wait,1978,51,No
Midnight Express,1978,51,No
An Unmarried Woman,1978,51,No
Kramer vs. Kramer,1979,52,Yes
All That Jazz,1979,52,No
Apocalypse Now,1979,52,No
Breaking Away,1979,52,No
Norma Rae,1979,52,No
Ordinary People,1980,53,Yes
Coal Miner's Daughter,1980,53,No
The Elephant Man,1980,53,No
Raging Bull,1980,53,No
Tess,1979,53,No
Chariots of Fire,1981,54,Yes
Atlantic City,1980,54,No
On Golden Pond,1981,54,No
Raiders of the Lost Ark,1981,54,No
Reds,1981,54,No
Gandhi,1982,55,Yes
E.T. the Extra-Terrestrial,1982,55,No
Missing,1982,55,No
Tootsie,1982,55,No
The Verdict,1982,55,No
Terms of Endearment,1983,56,Yes
The Big Chill,1983,56,No
The Dresser,1983,56,No
The Right Stuff,1983,56,No
Tender Mercies,1983,56,No
Amadeus,1984,57,Yes
The Killing Fields,1984,57,No
A Passage to India,1984,57,No
Places in the Heart,1984,57,No
A Soldier's Story,1984,57,No
Out of Africa,1985,58,Yes
The Color Purple,1985,58,No
Kiss of the Spider Woman,1985,58,No
Prizzi's Honor,1985,58,No
Witness,1985,58,No
Platoon,1986,59,Yes
Children of a Lesser God,1986,59,No
Hannah and Her Sisters,1986,59,No
The Mission,1986,59,No
A Room with a View,1985,59,No
The Last Emperor,1987,60,Yes
Broadcast News,1987,60,No
Fatal Attraction,1987,60,No
Hope and Glory,1987,60,No
Moonstruck,1987,60,No
Rain Man,1988,61,Yes
The Accidental Tourist,1988,61,No
Dangerous Liaisons,1988,61,No
Mississippi Burning,1988,61,No
Working Girl,1988,61,No
Driving Miss Daisy,1989,62,Yes
Born on the Fourth of July,1989,62,No
Dead Poets Society,1989,62,No
Field of Dreams,1989,62,No
My Left Foot,1989,62,No
Dances with Wolves,1990,63,Yes
Awakenings,1990,63,No
Ghost,1990,63,No
The Godfather Part III,1990,63,No
Goodfellas,1990,63,No
The Silence of the Lambs,1991,64,Yes
Beauty and the Beast,1991,64,No
Bugsy,1991,64,No
JFK,1991,64,No
The Prince of Tides,1991,64,No
Unforgiven,1992,65,Yes
The Crying Game,1992,65,No
A Few Good Men,1992,65,No
Howards End,1992,65,No
Scent of a Woman,1992,65,No
Schindler's List,1993,66,Yes
The Fugitive,1993,66,No
In the Name of the Father,1993,66,No
The Piano,1993,66,No
The Remains of the Day,1993,66,No
Forrest Gump,1994,67,Yes
Four Weddings and a Funeral,1994,67,No
Pulp Fiction,1994,67,No
Quiz Show,1994,67,No
The Shawshank Redemption,1994,67,No
Braveheart,1995,68,Yes
Apollo 13,1995,68,No
Babe,1995,68,No
The Postman (Il Postino),1994,68,No
Sense and Sensibility,1995,68,No
The English Patient,1996,69,Yes
Fargo,1996,69,No
Jerry Maguire,1996,69,No
Secrets & Lies,1996,69,No
Shine,1996,69,No
Titanic,1997,70,Yes
As Good as It Gets,1997,70,No
The Full Monty,1997,70,No
Good Will Hunting,1997,70,No
L.A. Confidential,1997,70,No
Shakespeare in Love,1998,71,Yes
Elizabeth,1998,71,No
Life Is Beautiful,1997,71,No
Saving Private Ryan,1998,71,No
The Thin Red Line,1998,71,No
American Beauty,1999,72,Yes
The Cider House Rules,1999,72,No
The Green Mile,1999,72,No
The Insider,1999,72,No
The Sixth Sense,1999,72,No
Gladiator,2000,73,Yes
Chocolat,2000,73,No
"Crouching Tiger, Hidden Dragon",2000,73,No
Erin Brockovich,2000,73,No
Traffic,2000,73,No
A Beautiful Mind,2001,74,Yes
Gosford Park,2001,74,No
In the Bedroom,2001,74,No
The Lord of the Rings: The Fellowship of the Ring,2001,74,No
Moulin Rouge!,2001,74,No
Chicago,2002,75,Yes
Gangs of New York,2002,75,No
The Hours,2002,75,No
The Lord of the Rings: The Two Towers,2002,75,No
The Pianist,2002,75,No
The Lord of the Rings: The Return of the King,2003,76,Yes
Lost in Translation,2003,76,No
Master and Commander: The Far Side of the World,2003,76,No
Mystic River,2003,76,No
Seabiscuit,2003,76,No
Million Dollar Baby,2004,77,Yes
The Aviator,2004,77,No
Finding Neverland,2004,77,No
Ray,2004,77,No
Sideways,2004,77,No
Crash,2005,78,Yes
Brokeback Mountain,2005,78,No
Capote,2005,78,No
"Good Night, and Good Luck",2005,78,No
Munich,2005,78,No
The Departed,2006,79,Yes
Babel,2006,79,No
Letters from Iwo Jima,2006,79,No
Little Miss Sunshine,2006,79,No
The Queen,2006,79,No
No Country for Old Men,2007,80,Yes
Atonement,2007,80,No
Juno,2007,80,No
Michael Clayton,2007,80,No
There Will Be Blood,2007,80,No
Slumdog Millionaire,2008,81,Yes
The Curious Case of Benjamin Button,2008,81,No
Frost/Nixon,2008,81,No
Milk,2008,81,No
The Reader,2008,81,No
The Hurt Locker,2008,82,Yes
Avatar,2009,82,No
The Blind Side,2009,82,No
District 9,2009,82,No
An Education,2009,82,No
Inglourious Basterds,2009,82,No
Precious,2009,82,No
A Serious Man,2009,82,No
Up,2009,82,No
Up in the Air,2009,82,No
The King's Speech,2010,83,Yes
Black Swan,2010,83,No
The Fighter,2010,83,No
Inception,2010,83,No
The Kids Are All Right,2010,83,No
127 Hours,2010,83,No
The Social Network,2010,83,No
Toy Story 3,2010,83,No
True Grit,2010,83,No
Winter's Bone,2010,83,No
The Artist,2011,84,Yes
The Descendants,2011,84,No
Extremely Loud & Incredibly Close,2011,84,No
The Help,2011,84,No
Hugo,2011,84,No
Midnight in Paris,2011,84,No
Moneyball,2011,84,No
The Tree of Life,2011,84,No
War Horse,2011,84,No
Argo,2012,85,Yes
Amour,2012,85,No
Beasts of the Southern Wild,2012,85,No
Django Unchained,2012,85,No
Life of Pi,2012,85,No
Lincoln,2012,85,No
Les Misérables,2012,85,No
Silver Linings Playbook,2012,85,No
Zero Dark Thirty,2012,85,No
12 Years a Slave,2013,86,Yes
American Hustle,2013,86,No
Captain Phillips,2013,86,No
Dallas Buyers Club,2013,86,No
Gravity,2013,86,No
Her,2013,86,No
Nebraska,2013,86,No
Philomena,2013,86,No
The Wolf of Wall Street,2013,86,No
Birdman or (The Unexpected Virtue of Ignorance),2014,87,Yes
American Sniper,2014,87,No
Boyhood,2014,87,No
The Grand Budapest Hotel,2014,87,No
The Imitation Game,2014,87,No
Selma,2014,87,No
The Theory of Everything,2014,87,No
Whiplash,2014,87,No
Spotlight,2015,88,Yes
The Big Short,2015,88,No
Bridge of Spies,2015,88,No
Brooklyn,2015,88,No
Mad Max: Fury Road,2015,88,No
The Martian,2015,88,No
The Revenant,2015,88,No
Room,2015,88,No
Moonlight,2016,89,Yes
Arrival,2016,89,No
Fences,2016,89,No
Hacksaw Ridge,2016,89,No
Hell or High Water,2016,89,No
Hidden Figures,2016,89,No
La La Land,2016,89,No
Lion,2016,89,No
Manchester by the Sea,2016,89,No
The Shape of Water,2017,90,Yes
Call Me by Your Name,2017,90,No
Darkest Hour,2017,90,No
Dunkirk,2017,90,No
Get Out,2017,90,No
Lady Bird,2017,90,No
Phantom Thread,2017,90,No
The Post,2017,90,No
"Three Billboards Outside Ebbing, Missouri",2017,90,No
Green Book,2018,91,Yes
Black Panther,2018,91,No
BlacKkKlansman,2018,91,No
Bohemian Rhapsody,2018,91,No
The Favourite,2018,91,No
Roma,2018,91,No
A Star Is Born,2018,91,No
Vice,2018,91,No
Parasite,2019,92,Yes
Ford v Ferrari,2019,92,No
The Irishman,2019,92,No
Jojo Rabbit,2019,92,No
Joker,2019,92,No
Little Women,2019,92,No
Marriage Story,2019,92,No
1917,2019,92,No
Once Upon a Time in Hollywood,2019,92,No
Nomadland,2020,93,Yes
The Father,2020,93,No
Judas and the Black Messiah,2021,93,No
Mank,2020,93,No
Minari,2020,93,No
Promising Young Woman,2020,93,No
Sound of Metal,2019,93,No
The Trial of the Chicago 7,2020,93,No
CODA,2021,94,Yes
Belfast,2021,94,No
Don't Look Up,2021,94,No
Drive My Car,2021,94,No
Dune,2021,94,No
King Richard,2021,94,No
Licorice Pizza,2021,94,No
Nightmare Alley,2021,94,No
The Power of the Dog,2021,94,No
West Side Story,2021,94,No
Everything Everywhere All at Once,2022,95,Yes
All Quiet on the Western Front,2022,95,No
Avatar: The Way of Water,2022,95,No
The Banshees of Inisherin,2022,95,No
Elvis,2022,95,No
The Fabelmans,2022,95,No
Tár,2022,95,No
Top Gun: Maverick,2022,95,No
Triangle of Sadness,2022,95,No
Women Talking,2022,95,No
American Fiction,2023,96,Null
Anatomy of a Fall,2023,96,Null
Barbie,2023,96,Null
The Holdovers,2023,96,Null
Killers of the Flower Moon,2023,96,Null
Maestro,2023,96,Null
Oppenheimer,2023,96,Null
Past Lives,2023,96,Null
Poor Things,2023,96,Null
The Zone of Interest,2023,96,Null
