Name,Year,Oscars_ID,Won,imdb_rating,imdb_votes,box_office,metascore,rotten_tomatoes_rating
"All This, and Heaven Too",1940,13,No,7.4,"5,308",,N/A,83
Foreign Correspondent,1940,13,No,7.4,"23,210",,89,95
The Grapes of Wrath,1940,13,No,8.1,"98,860",,96,100
The Great Dictator,1940,13,No,8.4,"234,772",,N/A,92
Kitty Foyle,1940,13,No,6.9,"3,970",,N/A,73
The Letter,1940,13,No,7.5,"14,338",,N/A,100
The Long Voyage Home,1940,13,No,6.9,"4,821",,N/A,
Our Town,1940,13,No,6.5,"2,901",,N/A,
The Philadelphia Story,1940,13,No,7.9,"73,167",404524,96,100
How Green Was My Valley,1941,14,Yes,7.7,"26,027",,88,93
Blossoms in the Dust,1941,14,No,6.9,"2,275",,N/A,33
Citizen Kane,1941,14,No,8.3,"461,005",1627530,100,99
Here Comes Mr. Jordan,1941,14,No,7.6,"7,174",,N/A,100
Hold Back the Dawn,1941,14,No,7.3,"2,748",,79,100
The Little Foxes,1941,14,No,7.9,"12,798",,N/A,
The Maltese Falcon,1941,14,No,8.0,"165,326",18180,97,99
One Foot in Heaven,1941,14,No,6.7,"1,456",,N/A,100
Sergeant York,1941,14,No,7.7,"19,536",16361885,N/A,88
Suspicion,1941,14,No,7.3,"41,836",,83,97
Mrs. Miniver,1942,15,Yes,7.6,"19,169",,N/A,94
49th Parallel,1941,15,No,7.3,"7,498",,N/A,87
Kings Row,1942,15,No,7.5,"4,948",,N/A,100
The Magnificent Ambersons,1942,15,No,7.6,"26,445",,93,89
The Pied Piper,1942,15,No,7.0,710,,N/A,100
The Pride of the Yankees,1942,15,No,7.6,"11,772",,N/A,94
Random Harvest,1942,15,No,7.9,"8,281",,62,82
The Talk of the Town,1942,15,No,7.5,"9,001",,N/A,88
Wake Island,1942,15,No,6.6,"2,160",,N/A,89
Yankee Doodle Dandy,1942,15,No,7.6,"16,707",11800000,89,
Casablanca,1942,16,Yes,8.5,"600,213",4219709,100,99
For Whom the Bell Tolls,1943,16,No,6.8,"10,074",,68,67
Heaven Can Wait,1943,16,No,7.4,"12,117",,N/A,88
The Human Comedy,1943,16,No,7.0,"2,384",,N/A,83
In Which We Serve,1942,16,No,7.2,"6,342",,N/A,90
Madame Curie,1943,16,No,7.2,"3,126",,N/A,88
The More the Merrier,1943,16,No,7.6,"7,272",,N/A,
The Ox-Bow Incident,1942,16,No,8.0,"24,630",,N/A,91
The Song of Bernadette,1943,16,No,7.6,"7,547",,N/A,88
Watch on the Rhine,1943,16,No,7.1,"4,851",,N/A,80
Going My Way,1944,17,Yes,7.0,"13,293",,90,83
Double Indemnity,1944,17,No,8.3,"165,369",,95,97
Gaslight,1944,17,No,7.8,"33,179",,78,89
Since You Went Away,1944,17,No,7.5,"5,051",,N/A,77
Wilson,1944,17,No,6.4,"1,662",,N/A,89
The Lost Weekend,1945,18,Yes,7.9,"39,675",,N/A,97
Anchors Aweigh,1945,18,No,7.0,"9,330",,60,53
The Bells of St. Mary's,1945,18,No,7.2,"9,253",21333333,N/A,85
Mildred Pierce,1945,18,No,7.9,"28,119",,88,88
Spellbound,1945,18,No,7.5,"51,517",,79,86
The Best Years of Our Lives,1946,19,Yes,8.1,"69,264",23650000,93,97
Henry V,1944,19,No,7.0,"6,965",,N/A,
It's a Wonderful Life,1946,19,No,8.6,"493,082",1483643,89,94
The Razor's Edge,1946,19,No,7.3,"6,619",,N/A,56
